num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real_2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted
1;[512];2;[64, 256];exp_0;100;Elu;14000;0.6701651215553284;0.0011469983728602529;0.5799999833106995;0.7189743518829346;1.0;0.5625;0.6496319770812988;0.0004675581294577569;0.6700000166893005;4;13;1;3,4797;6,268;1,7034;0
1;[512];2;[64, 512];exp_1;100;Elu;14000;0.6713294982910156;0.0033179386518895626;0.6600000262260437;0.7657357454299927;1.0;0.625;0.6300439238548279;0.0012151029659435153;0.7900000214576721;6;10;2;3,77801;4,9891;1,9945;0
1;[512];2;[256, 64];exp_2;120;Elu;11500;0.6879637837409973;0.001083797193132341;0.5299999713897705;0.6862744092941284;1.0;0.5234375;0.6470633745193481;0.0015863574808463454;0.8600000143051147;6;14,5;1;3,9151;4,94914;1,73078;1
1;[512];2;[512, 64];exp_3;120;Elu;11500;0.6727348566055298;0.0011412407038733363;0.44999998807907104;0.570087730884552;1.0;0.40625;0.6519477367401123;0.0004681790014728904;0.8600000143051147;7;11,5;2;4,1586;6,009001;1,3447;0
1;[512];2;[512, 256];exp_4;100;Elu;14000;0.6689431667327881;0.0007472237921319902;0.5099999904632568;0.6734693050384521;1.0;0.5078125;0.6414467096328735;0.0058423178270459175;0.7699999809265137;5;11;1;3,7896;5,01061;1,4051;0
