num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted
1;[512];0;[];exp_0;100;Elu;14000;0.38678431510925293;0.013445846736431122;0.8100000023841858;0.9162763357162476;1.0;0.8515625;0.10516077280044556;0.011164743453264236;1.0;17;14;19;4,75003;3,9835;5,1709;0
1;[512];1;[64];exp_1;120;Elu;11500;0.6943889856338501;0.004040778148919344;0.4000000059604645;0.5919191837310791;1.0;0.421875;0.600999653339386;0.004499627742916346;0.8700000047683716;6;17;1;3,6903;5,19991;2,1329;0
1;[512];2;[64, 64];exp_2;120;Elu;11500;0.7500560283660889;0.0035055172629654408;0.23000000417232513;0.378447026014328;1.0;0.234375;0.6062781810760498;0.0010956391924992204;0.8399999737739563;6;16;2;4,1397;5,8823;2,964;0
1;[512];2;[64, 265];exp_3;64;Elu;21500;0.6742567420005798;0.0010807376820594072;0.5299999713897705;0.7273294925689697;1.0;0.578125;0.583000123500824;0.0027820677496492863;0.8899999856948853;5;11;2;4,0033;4,854;2,4789;0
1;[512];2;[64, 512];exp_4;32;Elu;43500;0,00000302;0,000022;1.0;1.0;1.0;1.0;0,0000156;0,00000546;1.0;17;13,5;24;5,206;4,3305;6,4575;1
1;[512];1;[256];exp_5;100;Elu;14000;0.6993666291236877;0.002332031959667802;0.5199999809265137;0.6785844564437866;1.0;0.515625;0.6391321420669556;0.0027778514195233583;0.7200000286102295;7;11;1;4,02226;4,6514;1,7144;0
1;[512];2;[256, 256];exp_6;120;Elu;11500;0.7032611966133118;0.0006624302477575839;0.3700000047683716;0.5075851082801819;1.0;0.34375;0.6646741628646851;0.0006600460619665682;0.7300000190734863;7;10,5;2;3,6609;5,163;1,9088;1
1;[512];2;[256, 512];exp_7;120;Elu;11500;0.6874309778213501;0.0007934056338854134;0.49000000953674316;0.6559714078903198;1.0;0.4921875;0.654998242855072;0.000457495276350528;0.7599999904632568;7;15,5;2;3,966;6,6852;1,78488;1
1;[512];1;[512];exp_8;120;Elu;11500;0.6892964839935303;0.002573421923443675;0.5299999713897705;0.7276190519332886;1.0;0.578125;0.6360305547714233;0.0010705573949962854;0.8299999833106995;6;10;1;4,056;5,1035;1,6581;0
1;[512];2;[512, 512];exp_9;64;Elu;21500;0.6538196802139282;0.0020179515704512596;0.6800000071525574;0.7775744199752808;1.0;0.640625;0.6304036974906921;0.0023490427993237972;0.699999988079071;7;7,5;7;4,483;4,4004;4,156;1
